"locallevel_fullcode","province","district_code","district","locallevel_code","locallevel_name","locallevel_name_nepali","locallevel_type","wards"
10101,1,1,"Taplejung",1,"Aathrai Tribeni","आठराई त्रिवेणी गाउँपालिका","Gaunpalika",5
10102,1,1,"Taplejung",2,"Maiwakhola","मैवाखोला गाउँपालिका","Gaunpalika",6
10103,1,1,"Taplejung",3,"Meringden","मेरिङदेन गाउँपालिका","Gaunpalika",6
10104,1,1,"Taplejung",4,"Mikwakhola","मिक्वाखोला गाउँपालिका","Gaunpalika",5
10105,1,1,"Taplejung",5,"Phaktanglung","फक्ताङलुङ गाउँपालिका","Gaunpalika",7
10106,1,1,"Taplejung",6,"Phungling","फुङलिङ नगरपालिका","Nagarpalika",11
10107,1,1,"Taplejung",7,"Sidingba","सिदिङ्वा गाउँपालिका","Gaunpalika",7
10108,1,1,"Taplejung",8,"Sirijangha","सिरीजङ्घा गाउँपालिका","Gaunpalika",8
10109,1,1,"Taplejung",9,"Yangwarak","याङवरक गाउँपालिका","Gaunpalika",6
10201,1,2,"Panchthar",1,"Falelung","फालेलुंग गाउँपालिका","Gaunpalika",8
10202,1,2,"Panchthar",2,"Falgunanda","फाल्गुनन्द गाउँपालिका","Gaunpalika",7
10203,1,2,"Panchthar",3,"Hilihang","हिलिहाङ गाउँपालिका","Gaunpalika",7
10204,1,2,"Panchthar",4,"Kummayak","कुम्मायक गाउँपालिका","Gaunpalika",5
10205,1,2,"Panchthar",5,"Miklajung","मिक्लाजुङ गाउँपालिका","Gaunpalika",NA
10206,1,2,"Panchthar",6,"Phidim","फिदिम नगरपालिका","Nagarpalika",14
10207,1,2,"Panchthar",7,"Tumbewa","तुम्बेवा गाउँपालिका","Gaunpalika",5
10208,1,2,"Panchthar",8,"Yangwarak","याङवरक गाउँपालिका","Gaunpalika",6
10301,1,3,"Ilam",1,"Chulachuli","चुलाचुली गाउँपालिका","Gaunpalika",6
10302,1,3,"Ilam",2,"Deumai","देउमाई नगरपालिका","Nagarpalika",9
10303,1,3,"Ilam",3,"Fakphokthum","फाकफोकथुम गाउँपालिका","Gaunpalika",7
10304,1,3,"Ilam",4,"Illam","ईलाम नगरपालिका","Nagarpalika",12
10305,1,3,"Ilam",5,"Mai","माई नगरपालिका","Nagarpalika",10
10306,1,3,"Ilam",6,"Maijogmai","माईजोगमाई गाउँपालिका","Gaunpalika",6
10307,1,3,"Ilam",7,"Mangsebung","माङसेबुङ गाउँपालिका","Gaunpalika",6
10308,1,3,"Ilam",8,"Rong","रोङ गाउँपालिका","Gaunpalika",6
10309,1,3,"Ilam",9,"Sandakpur","सन्दकपुर गाउँपालिका","Gaunpalika",5
10310,1,3,"Ilam",10,"Suryodaya","सूर्योदय नगरपालिका","Nagarpalika",14
10401,1,4,"Jhapa",1,"Arjundhara","अर्जुनधारा नगरपालिका","Nagarpalika",11
10402,1,4,"Jhapa",2,"Barhadashi","बाह्रदशी गाउँपालिका","Gaunpalika",7
10403,1,4,"Jhapa",3,"Bhadrapur","भद्रपुर नगरपालिका","Nagarpalika",10
10404,1,4,"Jhapa",4,"Birtamod","विर्तामोड नगरपालिका","Nagarpalika",10
10405,1,4,"Jhapa",5,"Buddhashanti","बुद्धशान्ति गाउँपालिका","Gaunpalika",7
10406,1,4,"Jhapa",6,"Damak","दमक नगरपालिका","Nagarpalika",10
10407,1,4,"Jhapa",7,"Gauradhaha","गौरादह नगरपालिका","Nagarpalika",9
10408,1,4,"Jhapa",8,"Gauriganj","गौरीगंज गाउँपालिका","Gaunpalika",6
10409,1,4,"Jhapa",9,"Haldibari","हल्दिवारी गाउँपालिका","Gaunpalika",5
10410,1,4,"Jhapa",10,"Jhapa","झापा गाउँपालिका","Gaunpalika",7
10411,1,4,"Jhapa",11,"Kachankawal","कचनकवल गाउँपालिका","Gaunpalika",7
10412,1,4,"Jhapa",12,"Kamal","कमल गाउँपालिका","Gaunpalika",7
10413,1,4,"Jhapa",13,"Kankai","कन्काई नगरपालिका","Nagarpalika",9
10414,1,4,"Jhapa",14,"Mechinagar","मेचीनगर नगरपालिका","Nagarpalika",15
10415,1,4,"Jhapa",15,"Shivasataxi","शिवशताक्षी नगरपालिका","Nagarpalika",11
10501,1,5,"Morang",1,"Belbari","बेलवारी नगरपालिका","Nagarpalika",11
10502,1,5,"Morang",2,"Biratnagar","विराटनगर महानगरपालिका","Mahanagarpalika",19
10503,1,5,"Morang",3,"Budhiganga","बुढीगंगा गाउँपालिका","Gaunpalika",9
10504,1,5,"Morang",4,"Dhanpalthan","धनपालथान गाउँपालिका","Gaunpalika",7
10505,1,5,"Morang",5,"Gramthan","ग्रामथान गाउँपालिका","Gaunpalika",7
10506,1,5,"Morang",6,"Jahada","जहदा गाउँपालिका","Gaunpalika",7
10507,1,5,"Morang",7,"Kanepokhari","कानेपोखरी गाउँपालिका","Gaunpalika",7
10508,1,5,"Morang",8,"Katahari","कटहरी गाउँपालिका","Gaunpalika",7
10509,1,5,"Morang",9,"Kerabari","केरावारी गाउँपालिका","Gaunpalika",10
10510,1,5,"Morang",10,"Letang","लेटाङ नगरपालिका","Nagarpalika",9
10511,1,5,"Morang",11,"Miklajung","मिक्लाजुङ गाउँपालिका","Gaunpalika",9
10512,1,5,"Morang",12,"Patahrishanishchare","पथरी शनिश्चरे नगरपालिका","Nagarpalika",10
10513,1,5,"Morang",13,"Rangeli","रंगेली नगरपालिका","Nagarpalika",9
10514,1,5,"Morang",14,"Ratuwamai","रतुवामाई नगरपालिका","Nagarpalika",10
10515,1,5,"Morang",15,"Sundarharaicha","सुनवर्षि नगरपालिका","Nagarpalika",12
10516,1,5,"Morang",16,"Sunwarshi","सुन्दरहरैचा नगरपालिका","Nagarpalika",9
10517,1,5,"Morang",17,"Uralabari","उर्लावारी नगरपालिका","Nagarpalika",9
10601,1,6,"Sunsari",1,"Barah","बराह नगरपालिका","Nagarpalika",11
10602,1,6,"Sunsari",2,"Barju","बर्जु गाउँपालिका","Gaunpalika",6
10603,1,6,"Sunsari",3,"Bhokraha","भोक्राहा गाउँपालिका","Gaunpalika",8
10604,1,6,"Sunsari",4,"Dewanganj","देवानगञ्ज गाउँपालिका","Gaunpalika",7
10605,1,6,"Sunsari",5,"Dharan","धरान उपमहानगरपालिका","Upamahanagarpalika",20
10606,1,6,"Sunsari",6,"Duhabi","दुहवी नगरपालिका","Nagarpalika",12
10607,1,6,"Sunsari",7,"Gadhi","गढी गाउँपालिका","Gaunpalika",6
10608,1,6,"Sunsari",8,"Harinagara","हरिनगरा गाउँपालिका","Gaunpalika",7
10609,1,6,"Sunsari",9,"Inaruwa","ईनरुवा नगरपालिका","Nagarpalika",10
10610,1,6,"Sunsari",10,"Itahari","ईटहरी उपमहानगरपालिका","Upamahanagarpalika",20
10611,1,6,"Sunsari",11,"Koshi","कोशी गाउँपालिका","Gaunpalika",8
10612,1,6,"Sunsari",12,"Ramdhuni","रामधुनी नगरपालिका","Nagarpalika",9
10688,1,6,"Sunsari",88,"Koshi Tappu Wildlife Reserve","","Wildlife Reserve",NA
10701,1,7,"Dhankuta",1,"Chaubise","चौविसे गाउँपालिका","Gaunpalika",8
10702,1,7,"Dhankuta",2,"Chhathar Jorpati","छथर जोरपाटी गाउँपालिका","Gaunpalika",6
10703,1,7,"Dhankuta",3,"Dhankuta","धनकुटा नगरपालिका","Nagarpalika",10
10704,1,7,"Dhankuta",4,"Khalsa Chhintang Shahidbhumi","खाल्सा छिन्ताङ सहिदभूमि गाउँपालिका","Gaunpalika",7
10705,1,7,"Dhankuta",5,"Mahalaxmi","महालक्ष्मी नगरपालिका","Nagarpalika",9
10706,1,7,"Dhankuta",6,"Pakhribas","पाख्रिबास नगरपालिका","Nagarpalika",10
10707,1,7,"Dhankuta",7,"Sangurigadhi","साँगुरीगढी गाउँपालिका","Gaunpalika",10
10801,1,8,"Terhathum",1,"Aathrai","आठराई गाउँपालिका","Gaunpalika",7
10802,1,8,"Terhathum",2,"Chhathar","छथर गाउँपालिका","Gaunpalika",6
10803,1,8,"Terhathum",3,"Laligurans","लालीगुराँस नगरपालिका","Nagarpalika",9
10804,1,8,"Terhathum",4,"Menchayam","मेन्छयायेम गाउँपालिका","Gaunpalika",6
10805,1,8,"Terhathum",5,"Myanglung","म्याङलुङ नगरपालिका","Nagarpalika",10
10806,1,8,"Terhathum",6,"Phedap","फेदाप गाउँपालिका","Gaunpalika",5
10901,1,9,"Sankhuwasabha",1,"Bhotkhola","भोटखोला गाउँपालिका","Gaunpalika",5
10902,1,9,"Sankhuwasabha",2,"Chainpur","चैनपुर नगरपालिका","Nagarpalika",11
10903,1,9,"Sankhuwasabha",3,"Chichila","चिचिला गाउँपालिका","Gaunpalika",5
10904,1,9,"Sankhuwasabha",4,"Dharmadevi","धर्मदेवी नगरपालिका","Nagarpalika",9
10905,1,9,"Sankhuwasabha",5,"Khandbari","खाँदवारी नगरपालिका","Nagarpalika",11
10906,1,9,"Sankhuwasabha",6,"Madi","मादी नगरपालिका","Nagarpalika",9
10907,1,9,"Sankhuwasabha",7,"Makalu","मकालु गाउँपालिका","Gaunpalika",6
10908,1,9,"Sankhuwasabha",8,"Panchakhapan","पाँचखपन नगरपालिका","Nagarpalika",9
10909,1,9,"Sankhuwasabha",9,"Sabhapokhari","सभापोखरी गाउँपालिका","Gaunpalika",6
10910,1,9,"Sankhuwasabha",10,"Silichong","सिलीचोङ गाउँपालिका","Gaunpalika",5
11001,1,10,"Bhojpur",1,"Aamchowk","आमचोक गाउँपालिका","Gaunpalika",10
11002,1,10,"Bhojpur",2,"Arun","अरुण गाउँपालिका","Gaunpalika",7
11003,1,10,"Bhojpur",3,"Bhojpur","भोजपुर नगरपालिका","Nagarpalika",12
11004,1,10,"Bhojpur",4,"Hatuwagadhi","हतुवागढी गाउँपालिका","Gaunpalika",9
11005,1,10,"Bhojpur",5,"Pauwadungma","पौवादुङमा गाउँपालिका","Gaunpalika",6
11006,1,10,"Bhojpur",6,"Ramprasad Rai","रामप्रसाद राई गाउँपालिका","Gaunpalika",8
